trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.015, 'e': 0.06521928966812753}",30,1,19.60495263885679,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 0}",1
183,False,"{'a': 0.015, 'e': 0.06424830094450308}",20,11,17.355145202182886,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.015, 'e': 0.06329176835964073}",20,7,-1.7365602611042357,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
185,False,"{'a': 0.015, 'e': 0.06234947668967343}",20,3,18.049080825777352,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
186,False,"{'a': 0.015, 'e': 0.06142121391500013}",30,1,34.25616299638018,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.015, 'e': 0.060506771172580416}",20,8,20.78519332441554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.015, 'e': 0.05960594270893937}",25,4,17.918697500796654,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.015, 'e': 0.058718525833872284}",20,0,17.391740837425456,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
190,False,"{'a': 0.015, 'e': 0.057844320874838456}",20,7,8.392634582813496,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.015, 'e': 0.05698313113203406}",25,9,25.984805747965517,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.015, 'e': 0.056134762834133725}",25,12,25.851108329769314,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.015, 'e': 0.05529902509469138}",35,23,7.754825709351698,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
